loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
6500,36 months,6.29,198.6,A,10+ years,OWN,79500,Source Verified,credit_card,24.1,1,744,43.3,Fully Paid
4400,36 months,16.34,155.43,C,10+ years,MORTGAGE,67700,Not Verified,credit_card,22.27,0,696,62.9,Charged Off
34800,36 months,13.02,1172.88,C,1 year,RENT,72300,Not Verified,debt_consolidation,8.6,1,729,18.5,Fully Paid
11100,60 months,7.47,222.26,A,8 years,RENT,62500,Source Verified,debt_consolidation,13.72,1,729,71.3,Charged Off
17600,36 months,14.39,604.87,D,< 1 year,RENT,117700,Source Verified,debt_consolidation,19.32,0,675,37.5,Charged Off
25100,36 months,22.07,959.49,E,10+ years,MORTGAGE,25900,Verified,debt_consolidation,5.0,0,665,51.9,Fully Paid
9400,36 months,12.19,313.07,D,10+ years,RENT,57200,Not Verified,debt_consolidation,23.91,0,696,38.5,Fully Paid
4900,36 months,19.54,180.96,D,1 year,OTHER,38800,Verified,debt_consolidation,25.35,0,667,47.3,Charged Off
13000,36 months,12.54,435.15,C,2 years,RENT,76400,Source Verified,debt_consolidation,11.88,0,700,52.5,Charged Off
9900,60 months,11.97,220.07,B,2 years,RENT,49200,Source Verified,debt_consolidation,14.22,0,717,35.2,Fully Paid
22500,60 months,12.89,510.68,C,10+ years,RENT,88500,Source Verified,small_business,14.51,1,703,15.0,Charged Off
11700,60 months,17.42,293.42,D,10+ years,RENT,35000,Not Verified,credit_card,13.98,0,688,95.3,Charged Off
13700,36 months,10.65,446.25,B,8 years,RENT,72600,Verified,medical,22.14,1,728,37.2,Fully Paid
6500,60 months,10.84,140.81,B,10+ years,MORTGAGE,60200,Source Verified,debt_consolidation,18.05,0,716,31.4,Charged Off
4000,36 months,14.27,137.24,C,5 years,MORTGAGE,57000,Source Verified,major_purchase,10.34,0,710,52.7,Fully Paid
40000,36 months,14.14,1369.83,C,10+ years,MORTGAGE,107700,Verified,credit_card,24.35,0,682,51.7,Fully Paid
17900,36 months,13.41,606.66,C,5 years,OWN,163400,Verified,credit_card,11.28,0,705,44.9,Fully Paid
7200,36 months,12.66,241.42,D,5 years,MORTGAGE,83700,Verified,debt_consolidation,23.5,0,693,83.4,Charged Off
23800,60 months,7.37,475.43,A,1 year,RENT,68800,Verified,credit_card,16.51,0,739,56.0,Fully Paid
15100,60 months,9.36,316.1,B,< 1 year,MORTGAGE,51800,Verified,debt_consolidation,13.29,1,729,33.7,Fully Paid
6600,60 months,6.31,128.55,A,10+ years,MORTGAGE,43200,Not Verified,home_improvement,26.19,0,738,16.5,Fully Paid
14300,36 months,15.12,496.55,D,10+ years,RENT,99300,Not Verified,debt_consolidation,29.67,2,671,26.3,Fully Paid
5900,60 months,15.22,141.04,C,10+ years,MORTGAGE,74000,Not Verified,small_business,16.09,0,700,6.7,Fully Paid
15700,36 months,11.53,517.95,B,2 years,RENT,64700,Verified,debt_consolidation,29.54,0,722,35.7,Fully Paid
